Filename                                                                                                          Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
src/mysql-server/components/libminchassis/rwlock_scoped_lock.cc                                                        22                 2    90.91%           3                 0   100.00%          21                 2    90.48%           8                 2    75.00%
src/mysql-server/components/library_mysys/my_system.cc                                                                 61                37    39.34%          11                 5    54.55%          93                54    41.94%          34                26    23.53%
src/mysql-server/components/library_mysys/my_system_api/my_system_api_cgroup.cc                                       110                51    53.64%          12                 5    58.33%         140                74    47.14%          76                48    36.84%
src/mysql-server/components/library_mysys/my_system_api/my_system_api_common.cc                                         3                 1    66.67%           1                 0   100.00%           7                 2    71.43%           2                 1    50.00%
src/mysql-server/components/library_mysys/my_system_api/my_system_api_linux.cc                                          5                 2    60.00%           2                 1    50.00%          14                 8    42.86%           2                 1    50.00%
src/mysql-server/components/library_mysys/option_tracker_usage.cc                                                      63                63     0.00%           5                 5     0.00%          96                96     0.00%          34                34     0.00%
src/mysql-server/extra/libbacktrace/sha793921876c981/backtrace.c                                                       16                16     0.00%           2                 2     0.00%          42                42     0.00%          10                10     0.00%
src/mysql-server/extra/libbacktrace/sha793921876c981/dwarf.c                                                         1386              1386     0.00%          60                60     0.00%        2742              2742     0.00%        1110              1110     0.00%
src/mysql-server/extra/libbacktrace/sha793921876c981/elf.c                                                           2912              2912     0.00%          50                50     0.00%        4675              4675     0.00%        1510              1510     0.00%
src/mysql-server/extra/libbacktrace/sha793921876c981/fileline.c                                                        86                86     0.00%           5                 5     0.00%         138               138     0.00%          66                66     0.00%
src/mysql-server/extra/libbacktrace/sha793921876c981/internal.h                                                         1                 1     0.00%           1                 1     0.00%           5                 5     0.00%           0                 0         -
src/mysql-server/extra/libbacktrace/sha793921876c981/mmap.c                                                            78                78     0.00%           6                 6     0.00%         166               166     0.00%          60                60     0.00%
src/mysql-server/extra/libbacktrace/sha793921876c981/mmapio.c                                                          10                10     0.00%           2                 2     0.00%          35                35     0.00%           6                 6     0.00%
src/mysql-server/extra/libbacktrace/sha793921876c981/posix.c                                                           18                18     0.00%           2                 2     0.00%          26                26     0.00%          12                12     0.00%
src/mysql-server/extra/libbacktrace/sha793921876c981/simple.c                                                          10                10     0.00%           2                 2     0.00%          29                29     0.00%           6                 6     0.00%
src/mysql-server/extra/libbacktrace/sha793921876c981/sort.c                                                            21                21     0.00%           2                 2     0.00%          45                45     0.00%          14                14     0.00%
src/mysql-server/extra/libbacktrace/sha793921876c981/state.c                                                            4                 4     0.00%           1                 1     0.00%          13                13     0.00%           2                 2     0.00%
src/mysql-server/extra/libbacktrace/src/stacktrace.cc                                                                   6                 6     0.00%           6                 6     0.00%          21                21     0.00%           0                 0         -
src/mysql-server/extra/lz4/lz4-1.10.0/lib/lz4.c                                                                      1359              1359     0.00%          90                90     0.00%        1485              1485     0.00%         642               642     0.00%
src/mysql-server/extra/lz4/lz4-1.10.0/lib/lz4frame.c                                                                 1013              1013     0.00%          57                57     0.00%        1228              1228     0.00%         534               534     0.00%
src/mysql-server/extra/lz4/lz4-1.10.0/lib/lz4hc.c                                                                    1272              1272     0.00%          74                74     0.00%        1444              1444     0.00%         588               588     0.00%
src/mysql-server/extra/lz4/lz4-1.10.0/lib/xxhash.c                                                                    132               132     0.00%          24                24     0.00%         243               243     0.00%          52                52     0.00%
src/mysql-server/extra/xxhash/xxHash-0.8.3/xxhash.h                                                                  1064              1064     0.00%         131               131     0.00%        1340              1340     0.00%         290               290     0.00%
src/mysql-server/extra/zlib/zlib-1.3.2/adler32.c                                                                      139                32    76.98%           5                 3    40.00%          79                27    65.82%          34                13    61.76%
src/mysql-server/extra/zlib/zlib-1.3.2/compress.c                                                                      52                13    75.00%           6                 2    66.67%          58                 8    86.21%          30                15    50.00%
src/mysql-server/extra/zlib/zlib-1.3.2/crc32.c                                                                         83                44    46.99%          13                10    23.08%         291               154    47.08%          40                22    45.00%
src/mysql-server/extra/zlib/zlib-1.3.2/deflate.c                                                                     1594              1019    36.07%          30                15    50.00%        1187               729    38.58%         848               602    29.01%
src/mysql-server/extra/zlib/zlib-1.3.2/inffast.c                                                                       86                52    39.53%           1                 0   100.00%         213               102    52.11%          70                51    27.14%
src/mysql-server/extra/zlib/zlib-1.3.2/inflate.c                                                                     1184               624    47.30%          21                13    38.10%         966               506    47.62%         630               379    39.84%
src/mysql-server/extra/zlib/zlib-1.3.2/inftrees.c                                                                     110                29    73.64%           2                 0   100.00%         166                35    78.92%          84                32    61.90%
src/mysql-server/extra/zlib/zlib-1.3.2/trees.c                                                                        599                76    87.31%          21                 2    90.48%         416                33    92.07%         224                28    87.50%
src/mysql-server/extra/zlib/zlib-1.3.2/uncompr.c                                                                       58                58     0.00%           4                 4     0.00%          58                58     0.00%          36                36     0.00%
src/mysql-server/extra/zlib/zlib-1.3.2/zutil.c                                                                         35                31    11.43%           5                 3    40.00%          46                37    19.57%          36                36     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/allocations.h                                                        17                17     0.00%           3                 3     0.00%          23                23     0.00%           8                 8     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/bits.h                                                               28                28     0.00%          11                11     0.00%         163               163     0.00%           6                 6     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/bitstream.h                                                         107               107     0.00%          19                19     0.00%         203               203     0.00%          48                48     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/compiler.h                                                            8                 8     0.00%           5                 5     0.00%          15                15     0.00%           2                 2     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/cpu.h                                                                 6                 6     0.00%           2                 2     0.00%         116               116     0.00%           4                 4     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/entropy_common.c                                                    183               183     0.00%          15                15     0.00%         197               197     0.00%          74                74     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/error_private.c                                                      74                74     0.00%           1                 1     0.00%          44                44     0.00%          74                74     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/error_private.h                                                      10                10     0.00%           4                 4     0.00%           8                 8     0.00%           2                 2     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/fse.h                                                                19                19     0.00%          12                12     0.00%          86                86     0.00%           2                 2     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/fse_decompress.c                                                    233               233     0.00%           7                 7     0.00%         170               170     0.00%          78                78     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/mem.h                                                                56                56     0.00%          32                32     0.00%         170               170     0.00%          16                16     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/xxhash.h                                                            105               105     0.00%          19                19     0.00%         177               177     0.00%          32                32     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/zstd_common.c                                                        13                13     0.00%           6                 6     0.00%           6                 6     0.00%           0                 0         -
src/mysql-server/extra/zstd/zstd-1.5.7/lib/common/zstd_internal.h                                                      38                38     0.00%           5                 5     0.00%          62                62     0.00%          18                18     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/compress/fse_compress.c                                                    353               353     0.00%          13                13     0.00%         392               392     0.00%         184               184     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/compress/hist.c                                                             84                84     0.00%           8                 8     0.00%         105               105     0.00%          40                40     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/compress/huf_compress.c                                                    756               756     0.00%          51                51     0.00%         773               773     0.00%         348               348     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/compress/zstd_compress.c                                                  9532              9527     0.05%         248               246     0.81%        4982              4980     0.04%        2358              2358     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/compress/zstd_compress_internal.h                                          408               408     0.00%          58                58     0.00%         563               563     0.00%         162               162     0.00%
src/mysql-server/extra/zstd/zstd-1.5.7/lib/compress/zstd_compress_literals.c                                          173               173     0.00%           5                 5     0.00%         143               143     0.00%          74                74     0.00%
