run_id,tool,dbms,repeat_id,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate,global_branches_total,global_branches_hit,global_branch_coverage,time_to_first_risk_target_sec,time_to_50pct_risk_targets_sec
monetdb_squirrel_r1,SQUIRREL,monetdb,1,120042,10793,0.0899101980973326,10233,5263,0.5176038877318259,301870,31169,0.1032530559512373,86400,
monetdb_squirrel_r2,SQUIRREL,monetdb,2,120042,10802,0.08998517185651689,10233,5263,0.5176038877318259,301870,31186,0.10330937158379434,86400,
monetdb_squirrel_r3,SQUIRREL,monetdb,3,120042,10791,0.08989353726195831,10233,5263,0.5176038877318259,301870,31156,0.10320999105575247,86400,
monetdb_squirrel_r4,SQUIRREL,monetdb,4,120042,10790,0.08988520684427118,10233,5265,0.5178022413964098,301870,31160,0.10322324179282473,86400,
monetdb_squirrel_r5,SQUIRREL,monetdb,5,120042,10796,0.08993518935039403,10233,5265,0.5178022413964098,301870,31172,0.10326299400404147,86400,
