run_id,tool,dbms,repeat_id,elapsed_min,risk_branches_hit,target_region_branch_coverage,risk_targets_hit,target_function_hit_rate,global_branches_hit,global_branch_coverage
mariadb_sqlaser_r1,SQLaser,mariadb,1,60,1542,0.36540284360189573,1572,0.5308469850121994,75894,0.26660530864024057
mariadb_sqlaser_r1,SQLaser,mariadb,1,180,1542,0.36540284360189573,1572,0.5308469850121994,75916,0.2666825916506246
mariadb_sqlaser_r1,SQLaser,mariadb,1,300,1542,0.36540284360189573,1572,0.5308469850121994,75916,0.2666825916506246
mariadb_sqlaser_r1,SQLaser,mariadb,1,480,1542,0.36540284360189573,1572,0.5308469850121994,75917,0.26668610451473296
mariadb_sqlaser_r1,SQLaser,mariadb,1,600,1542,0.36540284360189573,1572,0.5308469850121994,75917,0.26668610451473296
mariadb_sqlaser_r1,SQLaser,mariadb,1,720,1542,0.36540284360189573,1572,0.5308469850121994,75918,0.26668961737884134
mariadb_sqlaser_r1,SQLaser,mariadb,1,900,1542,0.36540284360189573,1572,0.5308469850121994,75914,0.2666755659224079
mariadb_sqlaser_r1,SQLaser,mariadb,1,1200,1826,0.4327014218009479,1731,0.5838271174625305,84941,0.2983861902286172
mariadb_sqlaser_r1,SQLaser,mariadb,1,1440,1826,0.4327014218009479,1731,0.5838271174625305,84943,0.29839321595683393
mariadb_sqlaser_r2,SQLaser,mariadb,2,60,1581,0.3746445497630332,1493,0.5047054722899965,73692,0.2588699818736212
mariadb_sqlaser_r2,SQLaser,mariadb,2,180,1581,0.3746445497630332,1493,0.5047054722899965,73699,0.25889457192237975
mariadb_sqlaser_r2,SQLaser,mariadb,2,300,1581,0.3746445497630332,1493,0.5047054722899965,73718,0.2589613163404387
mariadb_sqlaser_r2,SQLaser,mariadb,2,480,1581,0.3746445497630332,1493,0.5047054722899965,73728,0.25899644498152236
mariadb_sqlaser_r2,SQLaser,mariadb,2,600,1581,0.3746445497630332,1493,0.5047054722899965,73731,0.25900698357384744
mariadb_sqlaser_r2,SQLaser,mariadb,2,720,1581,0.3746445497630332,1493,0.5047054722899965,73731,0.25900698357384744
mariadb_sqlaser_r2,SQLaser,mariadb,2,900,1581,0.3746445497630332,1493,0.5047054722899965,73730,0.25900347070973906
mariadb_sqlaser_r2,SQLaser,mariadb,2,1200,1816,0.43033175355450237,1673,0.5653537818055071,84216,0.2958393637500527
mariadb_sqlaser_r2,SQLaser,mariadb,2,1440,1816,0.43033175355450237,1673,0.5653537818055071,84216,0.2958393637500527
