idx	elapsed_ms	seed	rc	action
1	721	/root/SQLeek/experiment/RQ2/replay/output/sqlaser_mysql827_formal_mysql97_replay_20260713_141356/work/r2/queue_time_named/time:721,seq:000001,id:000000,orig:1000.sql	0	seed
2	721	/root/SQLeek/experiment/RQ2/replay/output/sqlaser_mysql827_formal_mysql97_replay_20260713_141356/work/r2/queue_time_named/time:721,seq:000002,id:000001,orig:1001.sql	0	seed
3	721	/root/SQLeek/experiment/RQ2/replay/output/sqlaser_mysql827_formal_mysql97_replay_20260713_141356/work/r2/queue_time_named/time:721,seq:000003,id:000002,orig:1113.sql	1	server_dead_after_seed
