kind	name	dbms	pid_or_container	log	started_at
squirrel	rq2_squirrel_sqlite_r4_20260615_more5	sqlite	rq2_squirrel_sqlite_r4_20260615_more5	/root/SQLeek/experiment/RQ2/live/logs/rq2_squirrel_sqlite_r4_20260615_more5.log	20260615_more5
squirrel	rq2_squirrel_sqlite_r5_20260615_more5	sqlite	rq2_squirrel_sqlite_r5_20260615_more5	/root/SQLeek/experiment/RQ2/live/logs/rq2_squirrel_sqlite_r5_20260615_more5.log	20260615_more5
squirrel	rq2_squirrel_postgres_r2_20260615_more5	postgres	rq2_squirrel_postgres_r2_20260615_more5	/root/SQLeek/experiment/RQ2/live/logs/rq2_squirrel_postgres_r2_20260615_more5.log	20260615_more5
squirrel	rq2_squirrel_postgres_r3_20260615_more5	postgres	rq2_squirrel_postgres_r3_20260615_more5	/root/SQLeek/experiment/RQ2/live/logs/rq2_squirrel_postgres_r3_20260615_more5.log	20260615_more5
squirrel	rq2_squirrel_postgres_r4_20260615_more5	postgres	rq2_squirrel_postgres_r4_20260615_more5	/root/SQLeek/experiment/RQ2/live/logs/rq2_squirrel_postgres_r4_20260615_more5.log	20260615_more5
