run_id,tool,dbms,repeat_id,elapsed_min,risk_branches_hit,target_region_branch_coverage,risk_targets_hit,target_function_hit_rate,global_branches_hit,global_branch_coverage,risk_branches_total,global_branches_total,risk_targets_total
monetdb_sqleek_full_r1,SQLeek-Full,MonetDB,1,180,31824.0,0.2651072124756335,8578.0,0.838268347503176,87553.0,0.2900354457216683,,,
monetdb_sqleek_full_r1,SQLeek-Full,MonetDB,1,300,32919.0,0.2742290198430549,8584.0,0.838854685820385,89942.0,0.2979494484380693,,,
monetdb_sqleek_full_r1,SQLeek-Full,MonetDB,1,480,34042.0,0.2835840789057163,8584.0,0.838854685820385,91904.0,0.3044489349720078,,,
monetdb_sqleek_full_r1,SQLeek-Full,MonetDB,1,600,34498.0,0.2873827493710534,8584.0,0.838854685820385,92834.0,0.3075297313413058,,,
monetdb_sqleek_full_r1,SQLeek-Full,MonetDB,1,720,35372.0,0.2946635344296163,8587.0,0.83914785497899,94208.0,0.3120813595256236,,,
monetdb_sqleek_full_r1,SQLeek-Full,MonetDB,1,900,35909.0,0.299136968727612,8590.0,0.839441024137594,95119.0,0.3150992148938284,,,
monetdb_sqleek_full_r1,SQLeek-Full,MonetDB,1,1200,36564.0,0.3045933923126905,8590.0,0.839441024137594,96429.0,0.3194388312849902,,,
monetdb_sqleek_full_r1,SQLeek-Full,MonetDB,1,1440,37043.0,0.308583662384832,8593.0,0.839734193296199,97161.0,0.3218637161692119,,,
monetdb_sqleek_full_r2,SQLeek-Full,MonetDB,2,60,28641.0,0.2385914929774578,8524.0,0.832991302648295,81694.0,0.2706264285950906,,,
monetdb_sqleek_full_r2,SQLeek-Full,MonetDB,2,180,31235.0,0.2602005964579064,8569.0,0.837388840027362,86507.0,0.2865703779772749,,,
monetdb_sqleek_full_r2,SQLeek-Full,MonetDB,2,300,32774.0,0.2730211092784192,8594.0,0.839831916349067,89197.0,0.2954814986583629,,,
monetdb_sqleek_full_r2,SQLeek-Full,MonetDB,2,480,33845.0,0.2819429866213492,8595.0,0.839929639401935,91303.0,0.3024580117269023,,,
monetdb_sqleek_full_r2,SQLeek-Full,MonetDB,2,600,34636.0,0.2885323470118792,8601.0,0.840515977719144,92787.0,0.3073740351807069,,,
monetdb_sqleek_full_r2,SQLeek-Full,MonetDB,2,720,34934.0,0.2910148114826477,8601.0,0.840515977719144,93523.0,0.3098121708020008,,,
monetdb_sqleek_full_r2,SQLeek-Full,MonetDB,2,900,35607.0,0.2966211825860949,8602.0,0.840613700772012,94550.0,0.3132142975453009,,,
monetdb_sqleek_full_r2,SQLeek-Full,MonetDB,2,1200,36344.0,0.3027607004215191,8603.0,0.84071142382488,95891.0,0.3176566071487726,,,
monetdb_sqleek_full_r2,SQLeek-Full,MonetDB,2,1440,36832.0,0.3068259442528448,8603.0,0.84071142382488,96791.0,0.3206380229900288,,,
monetdb_sqleek_full_r3,SQLeek-Full,MonetDB,3,60,28808.0,0.2399826727312107,8525.0,0.833089025701163,81891.0,0.2712790273958989,,,
monetdb_sqleek_full_r3,SQLeek-Full,MonetDB,3,180,31298.0,0.2607254127721964,8555.0,0.836020717287208,86629.0,0.2869745254579786,,,
monetdb_sqleek_full_r3,SQLeek-Full,MonetDB,3,300,33064.0,0.2754369304076906,8579.0,0.838366070556044,89394.0,0.2961340974591712,,,
monetdb_sqleek_full_r3,SQLeek-Full,MonetDB,3,480,34729.0,0.2893070758567834,8586.0,0.839050131926121,92336.0,0.3058800145758107,,,
monetdb_sqleek_full_r3,SQLeek-Full,MonetDB,3,600,35017.0,0.2917062361506806,8586.0,0.839050131926121,93143.0,0.3085533507801371,,,
monetdb_sqleek_full_r3,SQLeek-Full,MonetDB,3,720,35639.0,0.2968877559520834,8599.0,0.840320531613408,94146.0,0.3118759731010037,,,
monetdb_sqleek_full_r3,SQLeek-Full,MonetDB,3,900,36091.0,0.300653104746672,8606.0,0.841004592983485,95209.0,0.3153973564779541,,,
monetdb_sqleek_full_r3,SQLeek-Full,MonetDB,3,1200,36934.0,0.3076756468569334,8616.0,0.841981823512167,96913.0,0.3210421704707324,,,
monetdb_sqleek_full_r3,SQLeek-Full,MonetDB,3,1440,37172.0,0.3096582862664734,8617.0,0.842079546565035,97445.0,0.3228045185013416,,,
