dbms,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
MariaDB,other,SQLeek-Full,1594,958.5,0.6013174404015057,415,317.5,0.7650602409638554
MariaDB,other,SQLeek-W/O-M1,1594,886.6,0.5562107904642409,415,307.4,0.7412621359223301
MariaDB,other,SQLeek-W/O-M2,1594,904.25,0.56728356336261,415,314.5,0.757831325301205
MariaDB,other,SQLeek-W/O-M3,1594.0,860.667,0.5399416562107905,415.0,287.667,0.6931734939759036
MariaDB,parser,SQLeek-Full,64,53.5,0.8359375,5,5.0,1.0
MariaDB,parser,SQLeek-W/O-M1,64,51.6,0.80625,5,5.0,1.0
MariaDB,parser,SQLeek-W/O-M2,64,51.75,0.80859375,5,5,1
MariaDB,parser,SQLeek-W/O-M3,64.0,49.333,0.770828125,5.0,5.0,1.0
MariaDB,storage,SQLeek-Full,4,1.0,0.25,1,1.0,1.0
MariaDB,storage,SQLeek-W/O-M1,4,1.0,0.25,1,1.0,1.0
MariaDB,storage,SQLeek-W/O-M2,4,1,0.25,1,1,1
MariaDB,storage,SQLeek-W/O-M3,4.0,1.0,0.25,1.0,1.0,1.0
MariaDB,type system,SQLeek-Full,2206,1056.5,0.47892112420670896,996,677.0,0.679718875502008
MariaDB,type system,SQLeek-W/O-M1,2206,975.0,0.44197642792384406,996,630.8,0.6371944739638683
MariaDB,type system,SQLeek-W/O-M2,2206,939.25,0.425770625566636,996,618.25,0.620732931726908
MariaDB,type system,SQLeek-W/O-M3,2206.0,947.333,0.4294347234814143,996.0,656.333,0.658968875502008
MonetDB,catalog/metadata,SQLeek-Full,2148.0,1411.6,0.657169459962756,271.0,232.0,0.856088560885609
MonetDB,catalog/metadata,SQLeek-W/O-M1,2148,629.600000000000023,0.293109869646183,271,152.400000000000006,0.574615384615385
MonetDB,catalog/metadata,SQLeek-W/O-M2,2148,1360,0.633147113594041,271,233,0.859778597785978
MonetDB,cursor/prepared stmt,SQLeek-Full,216.0,126.6,0.5861111111111111,5.0,3.0,0.6
MonetDB,cursor/prepared stmt,SQLeek-W/O-M1,216,18.600000000000001,0.086111111111111,5,1,0.25
MonetDB,cursor/prepared stmt,SQLeek-W/O-M2,216,118,0.546296296296296,5,3,0.6
MonetDB,executor,SQLeek-Full,5128.0,484.6,0.0945007800312012,91.0,57.0,0.626373626373626
MonetDB,executor,SQLeek-W/O-M1,5128,109.200000000000003,0.021294851794072,91,33.399999999999999,0.367032967032967
MonetDB,executor,SQLeek-W/O-M2,5128,404,0.078783151326053,91,63,0.692307692307692
MonetDB,optimizer,SQLeek-Full,9324.0,5741.4,0.6157657657657657,1276.0,1148.2,0.899843260188088
MonetDB,optimizer,SQLeek-W/O-M1,9324,2751.800000000000182,0.295130845130845,1276,746.399999999999977,0.585220125786164
MonetDB,optimizer,SQLeek-W/O-M2,9324,4757,0.51018876018876,1276,1109,0.869122257053291
MonetDB,other,SQLeek-Full,102594.0,28959.6,0.2822738171822913,5999.0,4932.4,0.822203700616769
MonetDB,other,SQLeek-W/O-M1,102594,7133,0.069526483030197,5999,2834.400000000000091,0.474978881567832
MonetDB,other,SQLeek-W/O-M2,102594,17902,0.174493635105367,5999,4635,0.77262877146191
MonetDB,parser,SQLeek-Full,148.0,23.0,0.1554054054054054,4.0,3.0,0.75
MonetDB,parser,SQLeek-W/O-M1,148,18.800000000000001,0.127027027027027,4,2.8,0.7
MonetDB,parser,SQLeek-W/O-M2,148,21,0.141891891891892,4,3,0.75
MonetDB,storage,SQLeek-Full,696.0,154.0,0.2212643678160919,219.0,127.0,0.579908675799087
MonetDB,storage,SQLeek-W/O-M1,696,83,0.119252873563218,219,83.400000000000006,0.38256880733945
MonetDB,storage,SQLeek-W/O-M2,696,154,0.221264367816092,219,127,0.579908675799087
MonetDB,type system,SQLeek-Full,3550.0,1460.6,0.4114366197183098,166.0,151.0,0.909638554216867
MonetDB,type system,SQLeek-W/O-M1,3550,386.600000000000023,0.108901408450704,166,78.200000000000003,0.501282051282051
MonetDB,type system,SQLeek-W/O-M2,3550,968,0.272676056338028,166,148,0.891566265060241
