tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit,risk_branches_total,risk_targets_total,global_branches_total,mean_target_region_hit_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage
SQLeek-Full,MariaDB,900,0.532485875706215,0.00832281992922,2262,35.355339059327378,2064,28.284271247461902,0.36761894431413,0.003293305754852,108452,971.5647173503163,4248,3041,295012,0.678724103913186,0.005885122410546,0.01153483992467,0.002328718831776,0.004564288910282
SQLeek-Full,MariaDB,1200,0.546845574387947,0.000665825594338,2323,2.82842712474619,2095,4.242640687119285,0.376884669098206,0.00252390899553,111185.5,744.583440589434531,4248,3041,295012,0.68891811903979,0.000470809792844,0.000922787193974,0.001784673165837,0.003497959405041
SQLeek-Full,MariaDB,1440,0.5484934086629,0.000665825594338,2330,2.82842712474619,2098,5.656854249492381,0.379360839559069,0.003571343213049,111916,1053.589103967955907,4248,3041,295012,0.689904636632687,0.000470809792844,0.000922787193974,0.002525321003891,0.004949629167627
SQLeek-Full,MonetDB,60,0.239999333566585,0.001375591356829,28810,165.128737656411573,8521.399999999999636,6.426507605223851,0.271228674595024,0.000952324421388,81875.80000000000291,287.478173084496973,120042.000000000029104,10232.999999999998181,301870.000000000058208,0.832737222710838,0.000615183156626,0.001205758986987,0.000425892428571,0.00083474916
SQLeek-Full,MonetDB,180,0.260323886639676,0.003003681090162,31249.799999999999272,360.56788542519979,8560.200000000000728,14.096098751072937,0.285903865902541,0.003000349731525,86305.80000000000291,905.715573455596427,120042,10233,301870,0.836528877162123,0.001343287020066,0.00263284255933,0.001341797191193,0.002629922494738
SQLeek-Full,MonetDB,300,0.272627913563586,0.00249421525512,32726.799999999999272,299.41058765514623,8577.600000000000364,16.471186963907609,0.295011760029152,0.002381966728297,89055.19999999999709,719.044296271099029,120042,10233,301870.000000000058208,0.838229258282029,0.001115446972193,0.002186276065499,0.001065247904923,0.002087885893649
SQLeek-Full,MonetDB,480,0.283210876193332,0.004132023211679,33997.19999999999709,496.016330376329449,8581.799999999999272,12.13260071048248,0.302950276609136,0.002902677659518,91451.600000000005821,876.23130507874464,120042.000000000014552,10233,301870,0.838639695104075,0.001847896957184,0.003621878036081,0.001298116912691,0.002544309148873
SQLeek-Full,MonetDB,600,0.2877542859999,0.00338751393223,34542.599999999998545,406.643947452805435,8583.399999999999636,13.183322798141598,0.306407393911286,0.002919827613402,92495.19999999999709,881.408361657637101,120042.000000000029104,10233,301870.000000000058208,0.838796051988664,0.001514942285439,0.00296928687946,0.00130578660523,0.00255934174625
SQLeek-Full,MonetDB,720,0.292206061211909,0.003613697361865,35077,433.795458712974551,8586.600000000000364,14.943225890014512,0.309663100009938,0.002845419348543,93478,858.946738744609206,120042,10232.999999999994543,301870,0.839108765757843,0.001616094590248,0.003167545396887,0.001272510217567,0.002494120026431
SQLeek-Full,MonetDB,900,0.297319271588277,0.003941301879565,35690.80000000000291,473.121760226688366,8589.399999999999636,16.577092628081679,0.313390532348362,0.003194591844463,94603.19999999999709,964.351440088103914,120042.000000000014552,10233,301870.000000000058208,0.839382390305873,0.001762603784511,0.003454703417641,0.001428664904917,0.002800183213638
SQLeek-Full,MonetDB,1200,0.303757018376901,0.003286909842222,36463.599999999998545,394.567231280044325,8593.600000000000364,16.288032416470688,0.318201874979296,0.002734800536896,96055.600000000005821,825.554238072823409,120042.000000000014552,10233,301870.000000000058208,0.839792827127919,0.001469950768624,0.002881103506504,0.001223039981081,0.002397158362918
SQLeek-Full,MonetDB,1440,0.306985888272438,0.003552419669404,36851.19999999999709,426.439561954563487,8596.799999999999272,15.303594349041012,0.320521416503793,0.002823385079688,96755.80000000000291,852.295254005324068,120042,10232.999999999994543,301870,0.840105540897098,0.001588690373079,0.003113833131234,0.001262656192968,0.002474806138217
SQLeek-W/O-M1,PostgreSQL,60,0.1171875,0.029919597117386,375,95.74271077563381,2264.51086956521749,434.270581654729654,0.203349311060702,0.027282366499687,34695.45945317697624,4654.917372176613753,3200,4845,170620,0.467391304347826,0.014959798558693,0.029321205175038,0.013641183249844,0.026736719169693
SQLeek-W/O-M1,PostgreSQL,180,0.15625,0.057054433073455,500,182.574185835055374,2475.163043478260533,526.630434782608631,0.239803177376821,0.032302346855108,40915.218124033119238,5511.426420418545604,3200,4845,170620,0.510869565217391,0.028527216536727,0.055913344411986,0.016151173427554,0.031656299918006
SQLeek-W/O-M1,PostgreSQL,300,0.1953125,0.015625,625,50,2738.47826086956502,0,0.255305313529501,0.029084297509652,43560.192594403517433,4962.362841096850389,3200,4845,170620,0.565217391304348,0.0078125,0.0153125,0.014542148754826,0.028502611559459
SQLeek-W/O-M1,PostgreSQL,480,0.203125,0.03125,650,100,2791.141304347826008,105.326086956521976,0.268573106118294,0.029680107371284,45823.94336590331659,5064.019919688393202,3200,4845,170620,0.576086956521739,0.015625,0.030625,0.014840053685642,0.029086505223858
SQLeek-W/O-M1,PostgreSQL,600,0.203125,0.03125,650,100,2791.141304347826008,105.326086956521976,0.276097733994886,0.028721321488277,47107.795374207460554,4900.431872329755606,3200,4845,170620,0.576086956521739,0.015625,0.030625,0.014360660744138,0.028146895058511
SQLeek-W/O-M1,PostgreSQL,720,0.203125,0.03125,650,100,2791.141304347826008,105.326086956521976,0.280269844577859,0.030309599054083,47819.640881874365732,5171.423790607649607,3200,4845,170620,0.576086956521739,0.015625,0.030625,0.015154799527042,0.029703407073001
SQLeek-W/O-M1,PostgreSQL,900,0.203125,0.03125,650,100,2791.141304347826008,105.326086956521976,0.286760462338787,0.029975072506296,48927.07008424376545,5114.346871024242319,3200,4845,170620,0.576086956521739,0.015625,0.030625,0.014987536253148,0.02937557105617
