run_id,tool,dbms,version,repeat_id,start_time,end_time,budget_hours,seed_corpus,build_id,container_id,status,unsupported_reason
sqlaser_sqlite354_r1,SQLaser,sqlite,"fuzzing_sqlite=3.54.0,replay_sqlite=3.53.2",1,2026-07-13T03:35:01Z,2026-07-13T03:36:07Z,24,/root/SQLeek/experiment/RQ2/sqlaser/results/sqlite354/formal_24h/r1_20260711_174208/checkpoint_replay/checkpoint_0060m/queue,/root/bld_llvmcov/sqlite3,0e732825c5bf,completed,
sqlaser_sqlite354_r2,SQLaser,sqlite,"fuzzing_sqlite=3.54.0,replay_sqlite=3.53.2",2,2026-07-13T03:35:01Z,2026-07-13T03:36:06Z,24,/root/SQLeek/experiment/RQ2/sqlaser/results/sqlite354/formal_24h/r2_20260711_184300/checkpoint_replay/checkpoint_0060m/queue,/root/bld_llvmcov/sqlite3,b6245318a729,completed,
sqlaser_sqlite354_r3,SQLaser,sqlite,"fuzzing_sqlite=3.54.0,replay_sqlite=3.53.2",3,2026-07-13T03:40:43Z,2026-07-13T03:41:52Z,24,/root/SQLeek/experiment/RQ2/sqlaser/results/sqlite354/formal_24h/r3_20260711_184300/checkpoint_replay/checkpoint_0060m/queue,/root/bld_llvmcov/sqlite3,dc408b31f397,completed,
sqlaser_sqlite354_r4,SQLaser,sqlite,"fuzzing_sqlite=3.54.0,replay_sqlite=3.53.2",4,2026-07-13T03:40:43Z,2026-07-13T03:41:50Z,24,/root/SQLeek/experiment/RQ2/sqlaser/results/sqlite354/formal_24h/r4_20260711_184300/checkpoint_replay/checkpoint_0060m/queue,/root/bld_llvmcov/sqlite3,fa7c3654f669,completed,
sqlaser_sqlite354_r5,SQLaser,sqlite,"fuzzing_sqlite=3.54.0,replay_sqlite=3.53.2",5,2026-07-13T03:46:22Z,2026-07-13T03:47:34Z,24,/root/SQLeek/experiment/RQ2/sqlaser/results/sqlite354/formal_24h/r5_20260711_184300/checkpoint_replay/checkpoint_0060m/queue,/root/bld_llvmcov/sqlite3,69aed3314ea1,completed,
