tool,dbms,elapsed_min,repeats,risk_branches_hit_mean,risk_branches_hit_std,target_region_branch_coverage_mean,target_region_branch_coverage_std,risk_targets_hit_mean,risk_targets_hit_std,target_function_hit_rate_mean,target_function_hit_rate_std,global_branches_hit_mean,global_branches_hit_std,global_branch_coverage_mean,global_branch_coverage_std
SQLaser,sqlite,60,5,1878.0,18.179658962697843,0.6688034188034188,0.0064742375223282925,627.6,5.458937625582473,0.699825479930192,0.004274851209045679,22941.0,297.68523644950886,0.3667767389129401,0.004766497666618753
SQLaser,sqlite,180,5,1934.2,12.457929201917949,0.688817663817664,0.004436584473617509,633.0,3.7416573867739413,0.7050610820244329,0.0034904013961605806,24020.6,172.24778663309436,0.3840272464048902,0.0027455142411633095
SQLaser,sqlite,300,5,1956.8,15.073154945133417,0.6968660968660969,0.005367932672768296,636.0,1.4142135623730951,0.7075043630017452,0.0019898349478169757,24425.0,239.2498693834544,0.39045752261341765,0.003808749630819796
SQLaser,sqlite,480,5,1964.0,14.7648230602334,0.6994301994301995,0.005258127870453471,637.6,0.8944271909999159,0.7095986038394415,0.0009558857897123226,24627.0,243.7898685343589,0.39368678402122764,0.0038932123421720546
SQLaser,sqlite,600,5,1971.8,15.15585695366646,0.7022079772079771,0.005397384955009405,638.0,0.0,0.7099476439790575,0.0007804774790575108,24687.0,271.4295488704205,0.3946459464109734,0.004335884058098675
SQLaser,sqlite,720,5,1977.0,14.159802258506296,0.704059829059829,0.005042664621975159,638.0,0.0,0.7099476439790575,0.0007804774790575108,24888.8,200.9868154879817,0.3978540639406269,0.003201429676421386
SQLaser,sqlite,900,5,1979.2,13.989281611290838,0.7048433048433049,0.004981937895758866,638.4,0.8944271909999159,0.7102966841186736,0.0012340432481440502,24972.2,233.5202346692894,0.39917180171199285,0.003706819443291424
SQLaser,sqlite,1200,5,1994.4,12.739701723352868,0.7102564102564103,0.004536930813159824,638.8,1.0954451150103324,0.7106457242582898,0.0007804774790575108,25077.8,276.4863468600213,0.40085713341273604,0.004387869969869484
SQLaser,sqlite,1440,5,1997.6,14.51895313030523,0.7113960113960114,0.005170567354097288,639.2,1.0954451150103324,0.7109947643979058,0.0009558857897123227,25125.4,245.6151461127754,0.40160534599782094,0.003914240380616129
