bucket_id	reason	seed_count	raw_profile_count	raw_profile_bytes	bucket_profdata	cumulative_profdata	warning_count	merge_log
79	periodic_restart	15200	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000079.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000079.merge.log
80	periodic_restart	15400	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000080.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000080.merge.log
81	periodic_restart	15600	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000081.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000081.merge.log
82	periodic_restart	15800	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000082.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000082.merge.log
83	checkpoint_t480	15830	181	166040024	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000083.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000083.merge.log
84	periodic_restart	16000	248	230406008	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000084.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000084.merge.log
85	periodic_restart	16200	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000085.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000085.merge.log
86	periodic_restart	16400	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000086.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000086.merge.log
87	checkpoint_t600	16404	155	141639128	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000087.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000087.merge.log
88	periodic_restart	16600	275	255745400	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000088.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000088.merge.log
