run_id,dbms,repeat_id,branch_id,file,start_line,end_line,count,hit,region_ids
mysql_sqleek_r1,mysql,1,src/mysql-server/include/my_char_traits.h:79:0:0,/src/mysql-server/include/my_char_traits.h,79,79,0,0,mysql_target_001299
mysql_sqleek_r1,mysql,1,src/mysql-server/include/my_char_traits.h:79:0:1,/src/mysql-server/include/my_char_traits.h,79,79,0,0,mysql_target_001299
mysql_sqleek_r1,mysql,1,src/mysql-server/sql-common/sql_string.cc:237:0:0,/src/mysql-server/sql-common/sql_string.cc,237,237,0,0,mysql_target_001393
mysql_sqleek_r1,mysql,1,src/mysql-server/sql-common/sql_string.cc:237:0:1,/src/mysql-server/sql-common/sql_string.cc,237,237,5197,1,mysql_target_001393
mysql_sqleek_r1,mysql,1,src/mysql-server/sql-common/sql_string.cc:239:0:0,/src/mysql-server/sql-common/sql_string.cc,239,239,5197,1,mysql_target_001393
mysql_sqleek_r1,mysql,1,src/mysql-server/sql-common/sql_string.cc:239:0:1,/src/mysql-server/sql-common/sql_string.cc,239,239,0,0,mysql_target_001393
mysql_sqleek_r1,mysql,1,src/mysql-server/sql-common/sql_string.cc:246:0:0,/src/mysql-server/sql-common/sql_string.cc,246,246,0,0,mysql_target_001394
mysql_sqleek_r1,mysql,1,src/mysql-server/sql-common/sql_string.cc:246:0:1,/src/mysql-server/sql-common/sql_string.cc,246,246,105474,1,mysql_target_001394
mysql_sqleek_r1,mysql,1,src/mysql-server/sql-common/sql_string.cc:247:0:0,/src/mysql-server/sql-common/sql_string.cc,247,247,89339,1,mysql_target_001394
mysql_sqleek_r1,mysql,1,src/mysql-server/sql-common/sql_string.cc:247:0:1,/src/mysql-server/sql-common/sql_string.cc,247,247,16135,1,mysql_target_001394
mysql_sqleek_r1,mysql,1,src/mysql-server/sql/auth/sql_auth_cache.cc:1041:0:0,/src/mysql-server/sql/auth/sql_auth_cache.cc,1041,1041,0,0,mysql_target_001320
mysql_sqleek_r1,mysql,1,src/mysql-server/sql/auth/sql_auth_cache.cc:1041:0:1,/src/mysql-server/sql/auth/sql_auth_cache.cc,1041,1041,148,1,mysql_target_001320
mysql_sqleek_r1,mysql,1,src/mysql-server/sql/auth/sql_auth_cache.cc:1047:0:0,/src/mysql-server/sql/auth/sql_auth_cache.cc,1047,1047,0,0,mysql_target_001320
mysql_sqleek_r1,mysql,1,src/mysql-server/sql/auth/sql_auth_cache.cc:1047:0:1,/src/mysql-server/sql/auth/sql_auth_cache.cc,1047,1047,0,0,mysql_target_001320
mysql_sqleek_r1,mysql,1,src/mysql-server/sql/auth/sql_auth_cache.cc:1061:0:0,/src/mysql-server/sql/auth/sql_auth_cache.cc,1061,1061,0,0,mysql_target_001320
mysql_sqleek_r1,mysql,1,src/mysql-server/sql/auth/sql_auth_cache.cc:1061:0:1,/src/mysql-server/sql/auth/sql_auth_cache.cc,1061,1061,0,0,mysql_target_001320
mysql_sqleek_r1,mysql,1,src/mysql-server/sql/auth/sql_auth_cache.cc:1072:0:0,/src/mysql-server/sql/auth/sql_auth_cache.cc,1072,1072,0,0,mysql_target_001320
mysql_sqleek_r1,mysql,1,src/mysql-server/sql/auth/sql_auth_cache.cc:1072:0:1,/src/mysql-server/sql/auth/sql_auth_cache.cc,1072,1072,0,0,mysql_target_001320
