tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit
Griffin,MariaDB,480,0.361582,0,0,0,1536,0,1411,0,0.239089,0,0,0,70534,0
Griffin,MariaDB,600,0.363465,0,0,0,1544,0,1413,0,0.239461,0,0,0,70644,0
Griffin,MariaDB,720,0.36935,0,0,0,1569,0,1425,0,0.241031,0,0,0,71107,0
Griffin,MariaDB,900,0.377119,0,0,0,1602,0,1446,0,0.242275,0,0,0,71474,0
Griffin,MariaDB,1200,0.379002,0,0,0,1610,0,1449,0,0.242577,0,0,0,71563,0
Griffin,MariaDB,1440,0.381591,0,0,0,1621,0,1452,0,0.243265,0,0,0,71766,0
Griffin,MonetDB,60,0.224038,0,0,0,26894,0,8348,0,0.258032,0,0,0,77892,0
Griffin,MonetDB,180,0.224038,0,0,0,26894,0,8348,0,0.258032,0,0,0,77892,0
Griffin,MonetDB,300,0.224038,0,0,0,26894,0,8348,0,0.258032,0,0,0,77892,0
Griffin,MonetDB,480,0.224038,0,0,0,26894,0,8348,0,0.258032,0,0,0,77892,0
Griffin,MonetDB,600,0.224038,0,0,0,26894,0,8348,0,0.258032,0,0,0,77892,0
Griffin,MonetDB,720,0.224038,0,0,0,26894,0,8348,0,0.258035,0,0,0,77893,0
Griffin,MonetDB,900,0.224038,0,0,0,26894,0,8348,0,0.258035,0,0,0,77893,0
Griffin,MonetDB,1200,0.224038,0,0,0,26894,0,8348,0,0.258035,0,0,0,77893,0
Griffin,MonetDB,1440,0.224038,0,0,0,26894,0,8348,0,0.258035,0,0,0,77893,0
SQLancer,SQLite,60,0.48255,0,0,0,1355,0,530,0,0.209574,0,0,0,13095,0
SQLancer,SQLite,180,0.489316,0,0,0,1374,0,532,0,0.216183,0,0,0,13508,0
