run_id,tool,dbms,repeat_id,relative_time,edges_found
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,10800,17528.0
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,18000,17815.0
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,28800,18180.0
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,36000,18324.0
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,43200,18424.0
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,54000,18459.0
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,72000,18750.0
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,86400,18767.0
mysql_sqlaser_r1,SQLaser,MySQL,1,0,0.0
mysql_sqlaser_r1,SQLaser,MySQL,1,3600,1691.0
mysql_sqlaser_r1,SQLaser,MySQL,1,10800,3582.0
mysql_sqlaser_r1,SQLaser,MySQL,1,18000,4999.0
mysql_sqlaser_r1,SQLaser,MySQL,1,28800,6470.0
mysql_sqlaser_r1,SQLaser,MySQL,1,36000,6720.0
mysql_sqlaser_r1,SQLaser,MySQL,1,43200,7531.0
mysql_sqlaser_r1,SQLaser,MySQL,1,54000,7957.0
mysql_sqlaser_r1,SQLaser,MySQL,1,72000,8592.0
mysql_sqlaser_r1,SQLaser,MySQL,1,86400,9022.0
mysql_sqlaser_r3,SQLaser,MySQL,3,0,0.0
mysql_sqlaser_r3,SQLaser,MySQL,3,3600,1649.0
mysql_sqlaser_r3,SQLaser,MySQL,3,10800,3677.0
mysql_sqlaser_r3,SQLaser,MySQL,3,18000,5047.0
mysql_sqlaser_r3,SQLaser,MySQL,3,28800,6462.0
mysql_sqlaser_r3,SQLaser,MySQL,3,36000,6923.0
mysql_sqlaser_r3,SQLaser,MySQL,3,43200,7745.0
mysql_sqlaser_r3,SQLaser,MySQL,3,54000,8434.0
mysql_sqlaser_r3,SQLaser,MySQL,3,72000,8830.0
mysql_sqlaser_r3,SQLaser,MySQL,3,86400,9429.0
mysql_sqlaser_r4,SQLaser,MySQL,4,0,0.0
mysql_sqlaser_r4,SQLaser,MySQL,4,3600,1644.0
mysql_sqlaser_r4,SQLaser,MySQL,4,10800,3447.0
mysql_sqlaser_r4,SQLaser,MySQL,4,18000,5086.0
mysql_sqlaser_r4,SQLaser,MySQL,4,28800,6282.0
mysql_sqlaser_r4,SQLaser,MySQL,4,36000,7057.0
mysql_sqlaser_r4,SQLaser,MySQL,4,43200,7057.0
mysql_sqlaser_r4,SQLaser,MySQL,4,54000,8304.0
mysql_sqlaser_r4,SQLaser,MySQL,4,72000,8812.0
mysql_sqlaser_r4,SQLaser,MySQL,4,86400,9447.0
mysql_sqlaser_r5,SQLaser,MySQL,5,0,0.0
mysql_sqlaser_r5,SQLaser,MySQL,5,3600,1605.0
mysql_sqlaser_r5,SQLaser,MySQL,5,10800,3492.0
mysql_sqlaser_r5,SQLaser,MySQL,5,18000,4969.0
mysql_sqlaser_r5,SQLaser,MySQL,5,28800,5991.0
mysql_sqlaser_r5,SQLaser,MySQL,5,36000,6840.0
mysql_sqlaser_r5,SQLaser,MySQL,5,43200,7603.0
mysql_sqlaser_r5,SQLaser,MySQL,5,54000,8006.0
mysql_sqlaser_r5,SQLaser,MySQL,5,72000,8783.0
mysql_sqlaser_r5,SQLaser,MySQL,5,86400,9189.0
mysql_aflgo_r1,AFLGo,MySQL,1,0,0.0
mysql_aflgo_r1,AFLGo,MySQL,1,3600,1471.0
mysql_aflgo_r1,AFLGo,MySQL,1,10800,3224.0
mysql_aflgo_r1,AFLGo,MySQL,1,18000,4456.0
mysql_aflgo_r1,AFLGo,MySQL,1,28800,5639.0
mysql_aflgo_r1,AFLGo,MySQL,1,36000,6328.0
mysql_aflgo_r1,AFLGo,MySQL,1,43200,6909.0
mysql_aflgo_r1,AFLGo,MySQL,1,54000,7636.0
mysql_aflgo_r1,AFLGo,MySQL,1,72000,8218.0
mysql_aflgo_r1,AFLGo,MySQL,1,86400,8532.0
mysql_squirrel_r1,SQUIRREL,MySQL,1,0,0.0
mysql_squirrel_r1,SQUIRREL,MySQL,1,3600,1208.0
mysql_squirrel_r1,SQUIRREL,MySQL,1,10800,2994.0
mysql_squirrel_r1,SQUIRREL,MySQL,1,18000,4092.0
mysql_squirrel_r1,SQUIRREL,MySQL,1,28800,5216.0
mysql_squirrel_r1,SQUIRREL,MySQL,1,36000,5782.0
mysql_squirrel_r1,SQUIRREL,MySQL,1,43200,6516.0
mysql_squirrel_r1,SQUIRREL,MySQL,1,54000,7112.0
mysql_squirrel_r1,SQUIRREL,MySQL,1,72000,7885.0
mysql_squirrel_r1,SQUIRREL,MySQL,1,86400,8043.0
mysql_squirrel_r2,SQUIRREL,MySQL,2,0,0.0
mysql_squirrel_r2,SQUIRREL,MySQL,2,3600,1371.0
mysql_squirrel_r2,SQUIRREL,MySQL,2,10800,3184.0
mysql_squirrel_r2,SQUIRREL,MySQL,2,18000,4153.0
mysql_squirrel_r2,SQUIRREL,MySQL,2,28800,5056.0
mysql_squirrel_r2,SQUIRREL,MySQL,2,36000,5504.0
mysql_squirrel_r2,SQUIRREL,MySQL,2,43200,6276.0
mysql_squirrel_r2,SQUIRREL,MySQL,2,54000,6618.0
mysql_squirrel_r2,SQUIRREL,MySQL,2,72000,7383.0
mysql_squirrel_r2,SQUIRREL,MySQL,2,86400,7723.0
mysql_squirrel_r3,SQUIRREL,MySQL,3,0,0.0
mysql_squirrel_r3,SQUIRREL,MySQL,3,3600,1353.0
mysql_squirrel_r3,SQUIRREL,MySQL,3,10800,2955.0
mysql_squirrel_r3,SQUIRREL,MySQL,3,18000,3984.0
mysql_squirrel_r3,SQUIRREL,MySQL,3,28800,5125.0
mysql_squirrel_r3,SQUIRREL,MySQL,3,36000,5586.0
mysql_squirrel_r3,SQUIRREL,MySQL,3,43200,6238.0
mysql_squirrel_r3,SQUIRREL,MySQL,3,54000,6541.0
mysql_squirrel_r3,SQUIRREL,MySQL,3,72000,7426.0
mysql_squirrel_r3,SQUIRREL,MySQL,3,86400,7794.0
mysql_squirrel_r4,SQUIRREL,MySQL,4,0,0.0
mysql_squirrel_r4,SQUIRREL,MySQL,4,3600,1465.0
mysql_squirrel_r4,SQUIRREL,MySQL,4,10800,2863.0
mysql_squirrel_r4,SQUIRREL,MySQL,4,18000,3947.0
mysql_squirrel_r4,SQUIRREL,MySQL,4,28800,5109.0
mysql_squirrel_r4,SQUIRREL,MySQL,4,36000,5356.0
mysql_squirrel_r4,SQUIRREL,MySQL,4,43200,5910.0
mysql_squirrel_r4,SQUIRREL,MySQL,4,54000,6624.0
mysql_squirrel_r4,SQUIRREL,MySQL,4,72000,7295.0
mysql_squirrel_r4,SQUIRREL,MySQL,4,86400,7713.0
mariadb_sqleek_r1,SQLeek,MariaDB,1,0,0.0
mariadb_sqleek_r1,SQLeek,MariaDB,1,3600,3276.0
mariadb_sqleek_r1,SQLeek,MariaDB,1,10800,8809.0
mariadb_sqleek_r1,SQLeek,MariaDB,1,18000,11501.0
mariadb_sqleek_r1,SQLeek,MariaDB,1,28800,15439.0
mariadb_sqleek_r1,SQLeek,MariaDB,1,36000,15439.0
mariadb_sqleek_r1,SQLeek,MariaDB,1,43200,18161.0
mariadb_sqleek_r1,SQLeek,MariaDB,1,54000,19338.0
mariadb_sqleek_r1,SQLeek,MariaDB,1,72000,20006.0
mariadb_sqleek_r1,SQLeek,MariaDB,1,86400,20994.0
mariadb_sqleek_r2,SQLeek,MariaDB,2,0,0.0
mariadb_sqleek_r2,SQLeek,MariaDB,2,3600,3485.0
mariadb_sqleek_r2,SQLeek,MariaDB,2,10800,9560.0
mariadb_sqleek_r2,SQLeek,MariaDB,2,18000,12924.0
mariadb_sqleek_r2,SQLeek,MariaDB,2,28800,15640.0
mariadb_sqleek_r2,SQLeek,MariaDB,2,36000,17615.0
mariadb_sqleek_r2,SQLeek,MariaDB,2,43200,18697.0
mariadb_sqleek_r2,SQLeek,MariaDB,2,54000,19535.0
mariadb_sqleek_r2,SQLeek,MariaDB,2,72000,21123.0
mariadb_sqleek_r2,SQLeek,MariaDB,2,86400,23179.0
mariadb_aflgo_r1,AFLGo,MariaDB,1,0,0.0
mariadb_aflgo_r1,AFLGo,MariaDB,1,3600,1886.0
mariadb_aflgo_r1,AFLGo,MariaDB,1,10800,4133.0
mariadb_aflgo_r1,AFLGo,MariaDB,1,18000,5656.0
mariadb_aflgo_r1,AFLGo,MariaDB,1,28800,8157.0
mariadb_aflgo_r1,AFLGo,MariaDB,1,36000,8566.0
mariadb_aflgo_r1,AFLGo,MariaDB,1,43200,9182.0
mariadb_aflgo_r1,AFLGo,MariaDB,1,54000,10245.0
mariadb_aflgo_r1,AFLGo,MariaDB,1,72000,11175.0
mariadb_aflgo_r1,AFLGo,MariaDB,1,86400,11689.0
mariadb_griffin_r2,Griffin,MariaDB,2,0,0.0
mariadb_griffin_r2,Griffin,MariaDB,2,3600,2051.0
mariadb_griffin_r2,Griffin,MariaDB,2,10800,4277.0
mariadb_griffin_r2,Griffin,MariaDB,2,18000,5575.0
mariadb_griffin_r2,Griffin,MariaDB,2,28800,7297.0
mariadb_griffin_r2,Griffin,MariaDB,2,36000,8174.0
mariadb_griffin_r2,Griffin,MariaDB,2,43200,8947.0
mariadb_griffin_r2,Griffin,MariaDB,2,54000,9477.0
mariadb_griffin_r2,Griffin,MariaDB,2,72000,10982.0
mariadb_griffin_r2,Griffin,MariaDB,2,86400,11154.0
mariadb_squirrel_r1,SQUIRREL,MariaDB,1,0,0.0
mariadb_squirrel_r1,SQUIRREL,MariaDB,1,3600,1439.0
mariadb_squirrel_r1,SQUIRREL,MariaDB,1,10800,3756.0
mariadb_squirrel_r1,SQUIRREL,MariaDB,1,18000,5111.0
mariadb_squirrel_r1,SQUIRREL,MariaDB,1,28800,6828.0
mariadb_squirrel_r1,SQUIRREL,MariaDB,1,36000,7192.0
mariadb_squirrel_r1,SQUIRREL,MariaDB,1,43200,8381.0
