run_id,tool,dbms,repeat_id,elapsed_min,risk_branches_hit,target_region_branch_coverage,risk_targets_hit,target_function_hit_rate,global_branches_hit,global_branch_coverage,risk_branches_total,risk_targets_total,global_branches_total,time_to_first_risk_target_sec,time_to_50pct_risk_targets_sec
postgresql_griffin_r1,Griffin,PostgreSQL,1,480,701.09866666666643072,0.2166666666666666,29.708333333333336,0.6458333333333334,166931.79694444445,0.6690277777777778,,,,,
postgresql_griffin_r1,Griffin,PostgreSQL,1,600,701.09866666666643072,0.2166666666666666,29.708333333333336,0.6458333333333334,166931.79694444445,0.6690277777777778,,,,,
postgresql_griffin_r1,Griffin,PostgreSQL,1,720,701.09866666666643072,0.2166666666666666,29.708333333333336,0.6458333333333334,167763.51027777776,0.6723611111111111,,,,,
postgresql_griffin_r1,Griffin,PostgreSQL,1,900,701.09866666666643072,0.2166666666666666,29.708333333333336,0.6458333333333334,167763.51027777776,0.6723611111111111,,,,,
postgresql_griffin_r1,Griffin,PostgreSQL,1,1200,701.09866666666643072,0.2166666666666666,29.708333333333336,0.6458333333333334,170605.19749999998,0.68375,,,,,
postgresql_griffin_r1,Griffin,PostgreSQL,1,1440,701.09866666666643072,0.2166666666666666,29.708333333333336,0.6458333333333334,170605.19749999998,0.68375,,,,,
postgresql_griffin_r2,Griffin,PostgreSQL,2,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
postgresql_griffin_r2,Griffin,PostgreSQL,2,60,701.09866666666643072,0.2166666666666666,29.708333333333336,0.6458333333333334,151337.17194444445,0.6065277777777778,,,,,
postgresql_griffin_r2,Griffin,PostgreSQL,2,180,755.02933333333326592,0.2333333333333333,31.625,0.6875,163916.8361111111,0.6569444444444444,,,,,
postgresql_griffin_r2,Griffin,PostgreSQL,2,300,781.99466666666653184,0.2416666666666666,31.625,0.6875,163916.8361111111,0.6569444444444444,,,,,
postgresql_griffin_r2,Griffin,PostgreSQL,2,480,781.99466666666653184,0.2416666666666666,31.625,0.6875,167001.1063888889,0.6693055555555556,,,,,
postgresql_griffin_r2,Griffin,PostgreSQL,2,600,781.99466666666653184,0.2416666666666666,31.625,0.6875,168803.15194444443,0.6765277777777777,,,,,
postgresql_griffin_r2,Griffin,PostgreSQL,2,720,781.99466666666653184,0.2416666666666666,31.625,0.6875,169080.38972222223,0.6776388888888889,,,,,
postgresql_griffin_r2,Griffin,PostgreSQL,2,900,781.99466666666653184,0.2416666666666666,31.625,0.6875,169080.38972222223,0.6776388888888889,,,,,
postgresql_griffin_r2,Griffin,PostgreSQL,2,1200,781.99466666666653184,0.2416666666666666,31.625,0.6875,169322.9727777778,0.6786111111111112,,,,,
