elapsed_min,target_branch_pct,target_region_pct,global_branch_pct,target_branch_delta,global_branch_delta
0,0.0,0.0,0.0,-44.80660582355497,-32.08102916707448
60,44.80660582355497,59.30795847750865,32.08102916707448,0.0,0.0
180,48.80486744893524,61.5916955017301,34.412926984437696,3.998261625380273,2.331897817363213
300,50.26075619295959,62.42214532871972,35.66788196143682,5.454150369404623,3.5868527943623363
480,53.063885267275104,64.77508650519032,37.12042429284525,8.257279443720137,5.039395125770767
600,53.86788352890047,64.91349480968857,37.46666095722815,9.061277705345503,5.385631790153667
720,54.215558452846594,64.98269896193771,37.53915043554859,9.408952629291626,5.458121268474109
900,54.91090830073881,64.98269896193771,37.770382695507486,10.104302477183843,5.689353528433003
1200,56.69274228596263,65.5363321799308,38.26006900264265,11.886136462407663,6.179039835568169
1440,57.5619295958279,65.67474048442907,38.53075756092786,12.75532377227293,6.449728393853377
