dbms,component,tool,risk_branches_total,risk_branches_hit,target_region_branch_coverage,risk_targets_total,risk_targets_hit,target_function_hit_rate
PostgreSQL,executor,SQLeek,202.24,101.12,0.5,2.0,2.0,1.0
PostgreSQL,type system,SQLeek,404.48,303.36,0.75,6.0,6.0,1.0
PostgreSQL,storage,SQLeek,606.72,0.0,0.0,4.0,0.0,0.0
PostgreSQL,other,SQLeek,404.48,303.36,0.75,4.0,4.0,1.0
PostgreSQL,executor,SQLaser,80896,0.0,0.0,421.3043478260869,0.0,0.0
PostgreSQL,type system,SQLaser,40448,0.0,0.0,631.9565217391304,0.0,0.0
PostgreSQL,storage,SQLaser,60672,0.0,0.0,421.3043478260869,0.0,0.0
PostgreSQL,other,SQLaser,141568,20224,0.1428571428571428,842.6086956521739,210.65217391304347,0.25
PostgreSQL,executor,AFLGo,808.96,0.0,0.0,4.0,0.0,0.0
PostgreSQL,type system,AFLGo,404.48,0.0,0.0,6.0,0.0,0.0
PostgreSQL,storage,AFLGo,606.72,0.0,0.0,4.0,0.0,0.0
PostgreSQL,other,AFLGo,1415.68,101.12,0.0714285714285714,8.0,2.0,0.25
PostgreSQL,parser,Griffin,1011.2,303.36,0.3,4.0,1.0,0.2782378460404513
PostgreSQL,optimizer,Griffin,2629.12,707.84,0.2692307692307692,11.0,3.0,0.3004306273258087
PostgreSQL,executor,Griffin,2528,404.48,0.16,10.0,5.0,0.5
PostgreSQL,type system,Griffin,1921.28,1516.8,0.7894736842105263,8.0,8.0,1.0
PostgreSQL,catalog/metadata,Griffin,1617.92,404.48,0.25,6.0,2.0,0.293146994527008
PostgreSQL,storage,Griffin,1011.2,0.0,0.0,4.0,0.0,0.0
PostgreSQL,cursor/prepared stmt,Griffin,1415.68,404.48,0.2857142857142857,6.0,2.0,0.2935885157643635
PostgreSQL,executor,SQUIRREL,808.96,101.12,0.125,4.0,2.0,0.6666666666666666
PostgreSQL,type system,SQUIRREL,404.48,303.36,0.75,6.0,6.0,1.0
PostgreSQL,storage,SQUIRREL,606.72,0.0,0.0,4.0,0.0,0.0
PostgreSQL,other,SQUIRREL,1415.68,262.912,0.1857142857142857,8.0,3.2,0.4
PostgreSQL,executor,DynSQL,808.96,0.0,0.0,4,0.0,0.0
PostgreSQL,type system,DynSQL,404.48,0.0,0.0,6,0.0,0.0
PostgreSQL,storage,DynSQL,606.72,0.0,0.0,4,0.0,0.0
PostgreSQL,other,DynSQL,1415.68,101.12,0.07142857142857142,8,2.0,0.25
PostgreSQL,parser,SQLancer,1011.2,202.24,0.2,4.0,1.0,0.2033052030659173
PostgreSQL,optimizer,SQLancer,2629.12,505.6,0.1923076923076923,11.0,2.0,0.205032131632712
PostgreSQL,executor,SQLancer,2528,303.36,0.12,10.0,1.0,0.1477745389800144
PostgreSQL,type system,SQLancer,1921.28,404.48,0.2105263157894736,8.0,1.0,0.2044805507153186
PostgreSQL,catalog/metadata,SQLancer,1617.92,303.36,0.1875,6.0,1.0,0.1777754330320741
