tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit,risk_branches_total,risk_targets_total,global_branches_total,mean_target_region_hit_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage
SQLeek,PostgreSQL,0,0.375,0.0,1213.44,0.0,26.0,0.0,0.2219435001758293,0.0,55378.01050287188,0.0,3235.84,46.0,249514,0.5652173913043478,0.0,0.0,0.0,0.0
SQLeek,PostgreSQL,60,0.375,0.0,1213.44,0.0,28.0,0.0,0.4713105145938343,0.0,117598.57173836596,0.0,3235.84,46.0,249514,0.6086956521739131,0.0,0.0,0.0,0.0
SQLeek,PostgreSQL,180,0.375,0.0,1213.44,0.0,30.0,0.0,0.4792755831672723,0.0,119585.96785839878,0.0,3235.84,46.0,249514,0.6521739130434783,0.0,0.0,0.0,0.0
SQLeek,PostgreSQL,300,0.375,0.0,1213.44,0.0,30.0,0.0,0.4833724065174071,0.0,120608.18263978433,0.0,3235.84,46.0,249514,0.6521739130434783,0.0,0.0,0.0,0.0
SQLeek,PostgreSQL,480,0.4375,0.0,1415.68,0.0,32.0,0.0,0.4865373344273825,0.0,121397.87646231391,0.0,3235.84,46.0,249514,0.6956521739130435,0.0,0.0,0.0,0.0
SQLeek,PostgreSQL,600,0.4375,0.0,1415.68,0.0,32.0,0.0,0.4874164810690423,0.0,121617.235857461,0.0,3235.84,46.0,249514,0.6956521739130435,0.0,0.0,0.0,0.0
SQLeek,PostgreSQL,720,0.4375,0.0,1415.68,0.0,32.0,0.0,0.4877329738600398,0.0,121696.20523971396,0.0,3235.84,46.0,249514,0.6956521739130435,0.0,0.0,0.0,0.0
SQLeek,PostgreSQL,900,0.4375,0.0,1415.68,0.0,32.0,0.0,0.4887176180986988,0.0,121941.88776227873,0.0,3235.84,46.0,249514,0.6956521739130435,0.0,0.0,0.0,0.0
SQLeek,PostgreSQL,1200,0.4375,0.0,1415.68,0.0,32.0,0.0,0.4895147110538038,0.0,122140.7736138788,0.0,3235.84,46.0,249514,0.6956521739130435,0.0,0.0,0.0,0.0
SQLeek,PostgreSQL,1440,0.4375,0.0,1415.68,0.0,32.0,0.0,0.4898429258000234,0.0,122222.66778806705,0.0,3235.84,46.0,249514,0.6956521739130435,0.0,0.0,0.0,0.0
SQLaser,PostgreSQL,0,0.0625,0.0,202.24,0.0,11.767441860465116,0.0,0.1470658961020223,0.0,36694.99999999999,0.0,3235.84,46.0,249514,0.2558139534883721,0.0,0.0,0.0,0.0
SQLaser,PostgreSQL,60,0.0625,0.0,202.24,0.0,11.767441860465116,0.0,0.1470658961020223,0.0,36694.99999999999,0.0,3235.84,46.0,249514,0.2558139534883721,0.0,0.0,0.0,0.0
SQLaser,PostgreSQL,180,0.0625,0.0,202.24,0.0,11.767441860465116,0.0,0.1470658961020223,0.0,36694.99999999999,0.0,3235.84,46.0,249514,0.2558139534883721,0.0,0.0,0.0,0.0
SQLaser,PostgreSQL,300,0.0625,0.0,202.24,0.0,11.767441860465116,0.0,0.1470658961020223,0.0,36694.99999999999,0.0,3235.84,46.0,249514,0.2558139534883721,0.0,0.0,0.0,0.0
SQLaser,PostgreSQL,480,0.0625,0.0,202.24,0.0,11.767441860465116,0.0,0.1470658961020223,0.0,36694.99999999999,0.0,3235.84,46.0,249514,0.2558139534883721,0.0,0.0,0.0,0.0
SQLaser,PostgreSQL,600,0.0625,0.0,202.24,0.0,11.767441860465116,0.0,0.1470658961020223,0.0,36694.99999999999,0.0,3235.84,46.0,249514,0.2558139534883721,0.0,0.0,0.0,0.0
SQLaser,PostgreSQL,720,0.0625,0.0,202.24,0.0,11.767441860465116,0.0,0.1470658961020223,0.0,36694.99999999999,0.0,3235.84,46.0,249514,0.2558139534883721,0.0,0.0,0.0,0.0
SQLaser,PostgreSQL,900,0.0625,0.0,202.24,0.0,11.767441860465116,0.0,0.1470658961020223,0.0,36694.99999999999,0.0,3235.84,46.0,249514,0.2558139534883721,0.0,0.0,0.0,0.0
SQLaser,PostgreSQL,1200,0.0625,0.0,202.24,0.0,11.767441860465116,0.0,0.1470658961020223,0.0,36694.99999999999,0.0,3235.84,46.0,249514,0.2558139534883721,0.0,0.0,0.0,0.0
SQLaser,PostgreSQL,1440,0.0625,0.0,202.24,0.0,11.767441860465116,0.0,0.1470658961020223,0.0,36694.99999999999,0.0,3235.84,46.0,249514,0.2558139534883721,0.0,0.0,0.0,0.0
AFLGo,PostgreSQL,0,0.03125,0.0,101.12,0.0,7.488372093023255,0.0,0.0678639274750114,0.0,16932.999999999993,0.0,3235.84,46.0,249514,0.1627906976744186,0.0,0.0,0.0,0.0
AFLGo,PostgreSQL,60,0.03125,0.0,101.12,0.0,7.488372093023255,0.0,0.0741721907387962,0.0,18507.0,0.0,3235.84,46.0,249514,0.1627906976744186,0.0,0.0,0.0,0.0
AFLGo,PostgreSQL,180,0.03125,0.0,101.12,0.0,7.488372093023255,0.0,0.0821717418661878,0.0,20502.99999999998,0.0,3235.84,46.0,249514,0.1627906976744186,0.0,0.0,0.0,0.0
AFLGo,PostgreSQL,300,0.03125,0.0,101.12,0.0,7.488372093023255,0.0,0.0829292143927795,0.0,20691.999999999985,0.0,3235.84,46.0,249514,0.1627906976744186,0.0,0.0,0.0,0.0
AFLGo,PostgreSQL,480,0.03125,0.0,101.12,0.0,7.488372093023255,0.0,0.0832097597729987,0.0,20762.0,0.0,3235.84,46.0,249514,0.1627906976744186,0.0,0.0,0.0,0.0
AFLGo,PostgreSQL,600,0.03125,0.0,101.12,0.0,7.488372093023255,0.0,0.0832257909375826,0.0,20765.999999999985,0.0,3235.84,46.0,249514,0.1627906976744186,0.0,0.0,0.0,0.0
AFLGo,PostgreSQL,720,0.03125,0.0,101.12,0.0,7.488372093023255,0.0,0.0832257909375826,0.0,20765.999999999985,0.0,3235.84,46.0,249514,0.1627906976744186,0.0,0.0,0.0,0.0
AFLGo,PostgreSQL,900,0.03125,0.0,101.12,0.0,7.488372093023255,0.0,0.0832257909375826,0.0,20765.999999999985,0.0,3235.84,46.0,249514,0.1627906976744186,0.0,0.0,0.0,0.0
AFLGo,PostgreSQL,1200,0.03125,0.0,101.12,0.0,7.488372093023255,0.0,0.0832257909375826,0.0,20765.999999999985,0.0,3235.84,46.0,249514,0.1627906976744186,0.0,0.0,0.0,0.0
AFLGo,PostgreSQL,1440,0.03125,0.0,101.12,0.0,7.488372093023255,0.0,0.0832338065198746,0.0,20767.99999999999,0.0,3235.84,46.0,249514,0.1627906976744186,0.0,0.0,0.0,0.0
Griffin,PostgreSQL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3235.84,46.0,249514,0.0,0.0,0.0,0.0,0.0
Griffin,PostgreSQL,60,0.21166666666666661,0.007453559924999248,684.9194666666665,24.118527347709623,28.366666666666664,0.8571593913749209,0.6105,0.0031832533439630256,152328.297,794.2662748655813,3235.84,46.0,249514,0.6166666666666666,0.0033333333333333106,0.006533333333333289,0.001423594173340969,0.002790244579748299
Griffin,PostgreSQL,180,0.22166666666666662,0.00950146187582617,717.2778666666666,30.745210396273308,29.9,1.0498015685515685,0.6513055555555556,0.003560814253530782,162509.85438888887,888.4730076554769,3235.84,46.0,249514,0.65,0.004249182927993996,0.008328398538868232,0.001592444545229,0.0031211913086488397
Griffin,PostgreSQL,300,0.22999999999999998,0.009501461875826156,744.2431999999999,30.745210396273336,30.28333333333334,0.8571593913749185,0.6569166666666666,0.004553141297940624,163909.90516666666,1136.0724978143485,3235.84,46.0,249514,0.6583333333333334,0.00424918292799399,0.00832839853886822,0.0020362266906713716,0.003991004313715889
Griffin,PostgreSQL,480,0.22999999999999998,0.009501461875826156,744.2431999999999,30.745210396273336,30.28333333333334,0.8571593913749185,0.6687777777777778,0.0009337631285540026,166869.41844444445,232.9869732580132,3235.84,46.0,249514,0.6583333333333334,0.00424918292799399,0.00832839853886822,0.0004175915660659249,0.0008184794694892128
Griffin,PostgreSQL,600,0.22999999999999998,0.009501461875826156,744.2431999999999,30.745210396273336,30.28333333333334,0.8571593913749185,0.6729166666666667,0.00267158111967658,167902.12916666668,666.5968914949752,3235.84,46.0,249514,0.6583333333333334,0.00424918292799399,0.00832839853886822,0.0011947673982003668,0.002341744100472719
Griffin,PostgreSQL,720,0.22999999999999998,0.009501461875826156,744.2431999999999,30.745210396273336,30.28333333333334,0.8571593913749185,0.6753055555555555,0.002580494258331896,168498.19038888888,643.8694443734308,3235.84,46.0,249514,0.6583333333333334,0.00424918292799399,0.00832839853886822,0.0011540321154356044,0.0022619029462537846
Griffin,PostgreSQL,900,0.22999999999999998,0.009501461875826156,744.2431999999999,30.745210396273336,30.28333333333334,0.8571593913749185,0.6753055555555555,0.002580494258331896,168498.19038888888,643.8694443734308,3235.84,46.0,249514,0.6583333333333334,0.00424918292799399,0.00832839853886822,0.0011540321154356044,0.0022619029462537846
Griffin,PostgreSQL,1200,0.22999999999999998,0.009501461875826156,744.2431999999999,30.745210396273336,30.28333333333334,0.8571593913749185,0.6821666666666666,0.0021863422862380185,170210.13366666666,545.523009208388,3235.84,46.0,249514,0.6583333333333334,0.00424918292799399,0.00832839853886822,0.0009777619948221025,0.0019164135098513207
Griffin,PostgreSQL,1440,0.22999999999999998,0.009501461875826156,744.2431999999999,30.745210396273336,30.28333333333334,0.8571593913749185,0.6850833333333333,0.0024779116804874908,170937.88283333334,618.2736550451663,3235.84,46.0,249514,0.6583333333333334,0.00424918292799399,0.00832839853886822,0.0011081557919621536,0.002171985352245821
SQUIRREL,PostgreSQL,60,0.1875,0.0,606.72,0.0,28.027906976744184,1.1718715183831454,0.21444167461545244,0.004516438683901427,53506.2,1126.9146817749768,3235.84,46.0,249514,0.6093023255813953,0.0,0.0,0.002019812782682655,0.003958833054058004
SQUIRREL,PostgreSQL,180,0.2,0.017116329922036447,647.168,55.385705014922394,29.739534883720932,1.1718715183831447,0.22915026812122763,0.0035422099734554054,57176.19999999999,883.8309793167547,3235.84,46.0,249514,0.6465116279069768,0.007654655446197434,0.01500312467454697,0.0015841244582448023,0.0031048839381598125
SQUIRREL,PostgreSQL,300,0.20625,0.017116329922036447,667.392,55.38570501492237,30.167441860465118,1.1718715183831447,0.23169922329007586,0.0035221933857792925,57812.2,878.8365604593357,3235.84,46.0,249514,0.6558139534883721,0.007654655446197434,0.01500312467454697,0.0015751727681005277,0.003087338625477034
SQUIRREL,PostgreSQL,480,0.20625,0.017116329922036447,667.392,55.38570501492237,30.167441860465118,1.1718715183831447,0.2351451221173962,0.0026499547182619702,58672.0,661.2008015724208,3235.84,46.0,249514,0.6558139534883721,0.007654655446197434,0.01500312467454697,0.0011850957774660136,0.0023227877238333867
SQUIRREL,PostgreSQL,600,0.20625,0.017116329922036447,667.392,55.38570501492237,30.167441860465118,1.1718715183831447,0.23640276697900714,0.002486727669308624,58985.8,620.4733676798683,3235.84,46.0,249514,0.6558139534883721,0.007654655446197434,0.01500312467454697,0.0011120984220207401,0.0021797129071606507
SQUIRREL,PostgreSQL,720,0.20625,0.017116329922036447,667.392,55.38570501492237,30.167441860465118,1.1718715183831447,0.23718268313601637,0.0023873799949185666,59180.4,595.6847320521131,3235.84,46.0,249514,0.6558139534883721,0.007654655446197434,0.01500312467454697,0.0010676687913522035,0.0020926308310503187
SQUIRREL,PostgreSQL,900,0.20625,0.017116329922036447,667.392,55.38570501492237,30.167441860465118,1.1718715183831447,0.2378848481447934,0.002269115290911703,59355.59999999999,566.1760326965444,3235.84,46.0,249514,0.6558139534883721,0.007654655446197434,0.01500312467454697,0.0010147792078525556,0.001988967247391009
SQUIRREL,PostgreSQL,1200,0.20625,0.017116329922036447,667.392,55.38570501492237,30.167441860465118,1.1718715183831447,0.2402382231057175,0.0031801430043116234,59942.8,793.4902015778116,3235.84,46.0,249514,0.6558139534883721,0.007654655446197434,0.01500312467454697,0.0014222031871622392,0.002787518246837989
SQUIRREL,PostgreSQL,1440,0.20625,0.017116329922036447,667.392,55.38570501492237,30.167441860465118,1.1718715183831447,0.24101012368043473,0.0031230268584761293,60135.4,779.2389235658112,3235.84,46.0,249514,0.6558139534883721,0.007654655446197434,0.01500312467454697,0.001396660070222048,0.002737453737635214
DynSQL,PostgreSQL,0,0.03125,0.0,101.12,0.0,8.0,0.0,0.06794408329793115,1.1335745187594542e-05,16953.0,2.8284271247461903,3235.84,46.0,249514,0.17391304347826086,0.0,0.0,8.015582291950872e-06,1.5710541292223707e-05
DynSQL,PostgreSQL,60,0.03125,0.0,101.12,0.0,8.0,0.0,0.0690121596383369,8.501808890749879e-06,17219.5,2.1213203435596424,3235.84,46.0,249514,0.17391304347826086,0.0,0.0,6.011686719001318e-06,1.1782905969242584e-05
DynSQL,PostgreSQL,180,0.03125,0.0,101.12,0.0,8.0,0.0,0.06909431935682965,2.8339362969094303e-05,17240.0,7.0710678118654755,3235.84,46.0,249514,0.17391304347826086,0.0,0.0,2.003895572995351e-05,3.9276353230708885e-05
DynSQL,PostgreSQL,300,0.03125,0.0,101.12,0.0,8.0,0.0,0.0807449682182162,0.0,20147.0,0.0,3235.84,46.0,249514,0.17391304347826086,0.0,0.0,0.0,0.0
DynSQL,PostgreSQL,480,0.03125,0.0,101.12,0.0,8.0,0.0,0.08263864953469541,1.4169681484591309e-05,20619.5,3.5355339059327378,3235.84,46.0,249514,0.17391304347826086,0.0,0.0,1.0019477865007979e-05,1.963817661541564e-05
