run,dedup_line_no,first_seen_hours,source_run,discovery_time,run_start_time,run_time_hours,log_path,top_frame_demangled,dedup_line
r1,4,24.790277777777778,griffin_mariadb_sqleek_rnd1,2026-06-30 12:06:43,2026-06-29 11:19:18,25.508055555555554,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000210_20260630_12h06m43s/griffin.log,"Item_func_buffer::Transporter::add_edge_buffer(double, double, bool, bool)",/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd1/logSaved/id_000210_20260630_12h06m43s/griffin.log:[force_exit_all] #0 0x55b6b04fd912 (_ZN16Item_func_buffer11Transporter15add_edge_bufferEddbb+0x682)
r4,21,24.860555555555557,griffin_mariadb_sqleek_rnd4,2026-06-30 12:11:04,2026-06-29 11:19:26,25.514722222222222,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd4/logSaved/id_000550_20260630_12h11m04s/griffin.log,__nss_database_lookup,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd4/logSaved/id_000550_20260630_12h11m04s/griffin.log:[force_exit_all] #0 0x7f1eb2a6384d (__nss_database_lookup+0x285fd)
